티커,계약수,금액,비중
079311,0.0,2285714,0.0
F00594,0.0,2857143,0.0
060002,0.0,5714286,0.0
57001G,0.0,2873834,0.0
008272,0.0,5778388,0.0
000016,0.0,5714286,0.0
S46276,0.0,1714286,0.0
03366A,0.0,5731720,0.0
000038,0.0,5752560,0.0
10501G,0.0,4884799,0.0
10513G,0.0,5757234,0.0
02196A,0.0,5761291,0.0
S27535,0.0,11428571,0.0
003671,0.0,5744520,0.0
S03646,0.0,2285714,0.0
507037,0.0,5793057,0.0
063621,0.0,172511,0.0
S01576,0.0,11428571,0.0
50101G,0.0,5768594,0.0
F00353,0.0,2857143,0.0
029885,0.0,5373248,0.0
101181,0.0,2870057,0.0
