티커,계약수,금액,비중
FB4017,0.0,191000,0.0
FB4017,0.0,191000,0.0
FB4017,0.0,191000,0.0
FJ0594,0.0,189000,0.0
FJ0594,0.0,189000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
FA8305,0.0,191000,0.0
192531,0.0,764778,0.0
060005,0.0,1146000,0.0
F0000E,0.0,189000,0.0
F0000E,0.0,189000,0.0
F0000E,0.0,189000,0.0
81003G,0.0,764712,0.0
S49347,0.0,761000,0.0
FA9007,0.0,191000,0.0
FA9007,0.0,191000,0.0
FA9007,0.0,191000,0.0
FA9007,0.0,191000,0.0
FA9007,0.0,191000,0.0
FA9007,0.0,191000,0.0
F00354,0.0,188000,0.0
F00354,0.0,188000,0.0
F07686,0.0,187000,0.0
S0090A,0.0,762000,0.0
FA1453,0.0,191000,0.0
FA1453,0.0,191000,0.0
FA1453,0.0,191000,0.0
FA1453,0.0,191000,0.0
S0112T,0.0,1151000,0.0
S0058Z,0.0,352000,0.0
F01661,0.0,190000,0.0
F01661,0.0,190000,0.0
F01661,0.0,190000,0.0
F01661,0.0,190000,0.0
S0022L,0.0,367000,0.0
S0022L,0.0,280000,0.0
S0022L,0.0,730000,0.0
S0022L,0.0,292000,0.0
S0022L,0.0,229000,0.0
S0022L,0.0,455000,0.0
S0022L,0.0,407000,0.0
S0022L,0.0,285000,0.0
FA0160,0.0,68000,0.0
F38115,0.0,121000,0.0
F08986,0.0,189000,0.0
F08986,0.0,189000,0.0
F08986,0.0,189000,0.0
F08986,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
F03062,0.0,189000,0.0
03062N,0.0,392032,0.0
030624,0.0,1164752,0.0
F02969,0.0,186000,0.0
F02969,0.0,186000,0.0
F02969,0.0,186000,0.0
F02969,0.0,189000,0.0
F02969,0.0,189000,0.0
F02969,0.0,189000,0.0
F02969,0.0,189000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
FA1117,0.0,190000,0.0
F0058T,0.0,190000,0.0
F0058T,0.0,190000,0.0
F0058T,0.0,190000,0.0
F0058T,0.0,190000,0.0
005283,0.0,382378,0.0
F0005W,0.0,189000,0.0
F0005W,0.0,189000,0.0
S0100Y,0.0,571000,0.0
S0100Y,0.0,571000,0.0
F15399,0.0,189000,0.0
F0085F,0.0,190000,0.0
F0085F,0.0,190000,0.0
FA0145,0.0,190000,0.0
FA0145,0.0,190000,0.0
F00867,0.0,187000,0.0
F00867,0.0,187000,0.0
F00867,0.0,187000,0.0
F00867,0.0,187000,0.0
F00867,0.0,189000,0.0
F00867,0.0,189000,0.0
S09523,0.0,379000,0.0
S49313,0.0,382000,0.0
S49313,0.0,1517000,0.0
S49313,0.0,373000,0.0
S49313,0.0,678000,0.0
S49313,0.0,758000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
FA8325,0.0,191000,0.0
F0035F,0.0,190000,0.0
F0035F,0.0,190000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
F11752,0.0,187000,0.0
FA8801,0.0,190000,0.0
FA8801,0.0,190000,0.0
FA0471,0.0,189000,0.0
FA0471,0.0,189000,0.0
S46276,0.0,397000,0.0
S46276,0.0,381000,0.0
S46276,0.0,309000,0.0
S48019,0.0,2271000,0.0
FA6322,0.0,191000,0.0
FA6322,0.0,191000,0.0
FA6322,0.0,191000,0.0
FA6322,0.0,191000,0.0
FA5342,0.0,191000,0.0
FA5342,0.0,191000,0.0
FA5342,0.0,191000,0.0
FA5342,0.0,191000,0.0
FA5342,0.0,191000,0.0
FA5342,0.0,191000,0.0
F0067L,0.0,191000,0.0
F0067L,0.0,191000,0.0
S0110H,0.0,762000,0.0
F33557,0.0,378000,0.0
F33557,0.0,378000,0.0
F0077M,0.0,190000,0.0
F0077M,0.0,190000,0.0
F0077M,0.0,190000,0.0
F0077M,0.0,190000,0.0
F0041C,0.0,190000,0.0
F0041C,0.0,190000,0.0
F0041C,0.0,190000,0.0
F0041C,0.0,190000,0.0
F0041Y,0.0,190000,0.0
F0041Y,0.0,190000,0.0
F0041Y,0.0,190000,0.0
F0041Y,0.0,190000,0.0
F10423,0.0,191000,0.0
F10423,0.0,191000,0.0
F07802,0.0,191000,0.0
F07802,0.0,187000,0.0
F07802,0.0,187000,0.0
F07802,0.0,189000,0.0
F07802,0.0,189000,0.0
F07802,0.0,189000,0.0
F07802,0.0,189000,0.0
S07802,0.0,2669000,0.0
F0134K,0.0,190000,0.0
F0134K,0.0,190000,0.0
F13179,0.0,190000,0.0
F13179,0.0,190000,0.0
F13179,0.0,190000,0.0
F13179,0.0,190000,0.0
F0062D,0.0,190000,0.0
F0062D,0.0,190000,0.0
F0062D,0.0,190000,0.0
F0062D,0.0,190000,0.0
F0080F,0.0,190000,0.0
F0080F,0.0,190000,0.0
F0113Z,0.0,191000,0.0
F0113Z,0.0,191000,0.0
F0113Z,0.0,191000,0.0
FA6879,0.0,190000,0.0
S0087W,0.0,190000,0.0
S0167K,0.0,190000,0.0
S0167K,0.0,762000,0.0
FA1784,0.0,190000,0.0
F0042P,0.0,190000,0.0
F0042P,0.0,190000,0.0
10504A,0.0,1907000,0.0
10511G,0.0,1551151,0.0
FA4862,0.0,188000,0.0
F33914,0.0,376000,0.0
S46333,0.0,1176000,0.0
S46333,0.0,575000,0.0
F0104D,0.0,191000,0.0
F0104D,0.0,191000,0.0
FA0345,0.0,188000,0.0
FA0345,0.0,188000,0.0
F02196,0.0,187000,0.0
F0016W,0.0,190000,0.0
F0016W,0.0,190000,0.0
F0016W,0.0,190000,0.0
F0016W,0.0,190000,0.0
FA8802,0.0,190000,0.0
FA8802,0.0,190000,0.0
FA9184,0.0,191000,0.0
FA9184,0.0,191000,0.0
FA9184,0.0,190000,0.0
FA9184,0.0,190000,0.0
S49184,0.0,1141000,0.0
S38451,0.0,1448000,0.0
F27908,0.0,190000,0.0
F27908,0.0,190000,0.0
F27908,0.0,190000,0.0
F27908,0.0,190000,0.0
F27908,0.0,190000,0.0
F27908,0.0,190000,0.0
S27908,0.0,190000,0.0
S0083A,0.0,380000,0.0
S0051S,0.0,190000,0.0
S49397,0.0,380000,0.0
S0002F,0.0,1765000,0.0
S48317,0.0,381000,0.0
S0073J,0.0,762000,0.0
S49849,0.0,381000,0.0
F03949,0.0,191000,0.0
