티커,계약수,금액,비중
14576B,0.0,3540000,0.0
145766,0.0,3533000,0.0
079315,0.0,7080000,0.0
003542,0.0,3522000,0.0
089863,0.0,3504000,0.0
023532,0.0,7080000,0.0
030622,0.0,3516000,0.0
030626,0.0,3535000,0.0
029692,0.0,3683037,0.0
029693,0.0,3538000,0.0
169373,0.0,3576000,0.0
169379,0.0,3571000,0.0
008272,0.0,3532000,0.0
008273,0.0,3544000,0.0
029781,0.0,7021000,0.0
023781,0.0,3528000,0.0
023784,0.0,3511000,0.0
176942,0.0,3535000,0.0
136301,0.0,3571000,0.0
136301,0.0,3588000,0.0
335571,0.0,3581000,0.0
097244,0.0,3559000,0.0
097247,0.0,3529000,0.0
033664,0.0,3550000,0.0
033667,0.0,3530000,0.0
02196B,0.0,3556000,0.0
021964,0.0,3549000,0.0
439481,0.0,7116000,0.0
019804,0.0,3551000,0.0
019805,0.0,3509000,0.0
030491,0.0,3572000,0.0
214342,0.0,3531000,0.0
