티커,계약수,금액,비중
005930,2675.0,512530000,30.18
000660,320.0,301120000,17.72
102110,977.0,81677200,4.89
005380,78.0,42744000,2.59
402340,51.0,28866000,1.69
105560,185.0,27565000,1.63
012450,18.0,24858000,1.6
034020,246.0,22263000,1.45
000270,138.0,22963200,1.38
055550,239.0,22203100,1.32
068270,89.0,18823500,1.13
035420,78.0,17160000,1.04
028260,57.0,16701000,0.97
086790,143.0,15901600,0.95
012330,35.0,15120000,0.93
006400,34.0,13345000,0.84
005490,39.0,13513500,0.83
316140,382.0,12892500,0.76
267260,13.0,12792000,0.75
009150,31.0,12446500,0.75
373220,28.0,10402000,0.63
009540,26.0,10582000,0.63
010140,378.0,10281600,0.63
006800,155.0,10106000,0.62
035720,192.0,9830400,0.62
032830,48.0,10272000,0.6
329180,18.0,10062000,0.6
207940,6.0,9882000,0.59
064350,42.0,9471000,0.59
042660,76.0,9279600,0.58
015760,180.0,8676000,0.53
051910,26.0,8437000,0.51
000810,17.0,8355500,0.51
033780,51.0,7986600,0.47
042700,23.0,7245000,0.46
030200,126.0,7282800,0.45
298040,3.0,7452000,0.45
047810,40.0,7160000,0.44
066570,61.0,7039400,0.43
034730,20.0,7190000,0.43
010130,4.0,7036000,0.42
267250,25.0,6875000,0.42
079550,8.0,6104000,0.4
000720,42.0,6048000,0.39
017670,85.0,6621500,0.39
272210,40.0,6032000,0.38
010120,9.0,6309000,0.38
071050,23.0,5301500,0.32
096770,42.0,5313000,0.31
086280,21.0,5176500,0.31
138040,44.0,5095200,0.3
003550,51.0,4936800,0.29
005830,25.0,4765000,0.28
323410,193.0,4641650,0.28
003670,20.0,4160000,0.26
278470,14.0,3962000,0.26
352820,12.0,4116000,0.25
000150,4.0,4292000,0.25
011200,178.0,3782500,0.23
024110,155.0,3689000,0.22
259960,16.0,3520000,0.22
007660,31.0,3583600,0.21
003490,145.0,3552500,0.21
039490,8.0,3528000,0.21
018260,21.0,3504900,0.21
000100,34.0,3359200,0.2
016360,34.0,3236800,0.2
180640,26.0,3151200,0.19
009830,61.0,2708400,0.19
028050,90.0,2983500,0.18
