티커,계약수,금액,비중
035420,420.0,92400000,14.06
017670,735.0,57256500,8.46
042700,159.0,50085000,7.98
064400,632.0,39626400,6.17
000660,44.0,41404000,6.11
005930,187.0,35829200,5.29
010120,49.0,34349000,5.19
181710,810.0,28552500,4.46
034020,283.0,25611500,4.17
030520,994.0,20078800,3.03
018260,119.0,19861100,2.93
032640,1287.0,19317870,2.92
022100,548.0,17700400,2.77
267260,19.0,18696000,2.77
051600,317.0,17308200,2.63
009830,307.0,13630800,2.39
122640,638.0,15631000,2.31
031980,130.0,14183000,2.29
298040,6.0,14904000,2.24
036570,63.0,12883500,2.03
079370,647.0,11393670,1.77
083650,123.0,9938400,1.75
007660,96.0,11097600,1.65
030200,167.0,9652600,1.48
259960,39.0,8580000,1.33
009150,11.0,4416500,0.67
475150,136.0,3257200,0.56
010010,0.0,0,0.57
