티커,계약수,금액,비중
145761,0.0,493479,0.0
07931D,0.0,495124,0.0
079315,0.0,1480673,0.0
079316,0.0,493383,0.0
E03901,0.0,985804,0.0
E03901,0.0,1971609,0.0
060009,0.0,492902,0.0
060006,0.0,1478707,0.0
060005,0.0,985804,0.0
060001,0.0,493727,0.0
FA9568,0.0,246451,0.0
FA9568,0.0,246451,0.0
FA5819,0.0,246451,0.0
81003G,0.0,495133,0.0
81004G,0.0,2966844,0.0
81001G,0.0,493879,0.0
81002G,0.0,4937184,0.0
81004G,0.0,1481466,0.0
F0014N,0.0,246451,0.0
FA7495,0.0,246451,0.0
FA7495,0.0,246451,0.0
FA7495,0.0,246451,0.0
FA7806,0.0,246451,0.0
FA7806,0.0,246451,0.0
F0107Z,0.0,246451,0.0
F0107Z,0.0,246451,0.0
F0107Z,0.0,246451,0.0
F0107Z,0.0,246451,0.0
F0133G,0.0,246451,0.0
F0133G,0.0,246451,0.0
F14576,0.0,246451,0.0
F0085F,0.0,246451,0.0
F0085F,0.0,246451,0.0
10206G,0.0,989901,0.0
008272,0.0,497073,0.0
008278,0.0,494045,0.0
008274,0.0,993205,0.0
80603G,0.0,985804,0.0
F0059L,0.0,246451,0.0
F0059L,0.0,246451,0.0
F0059L,0.0,246451,0.0
F0122Y,0.0,246451,0.0
000011,0.0,495502,0.0
000016,0.0,495036,0.0
000019,0.0,1975151,0.0
000011,0.0,4436120,0.0
FA4882,0.0,246451,0.0
032713,0.0,500608,0.0
03271D,0.0,996006,0.0
02378A,0.0,500087,0.0
023788,0.0,496820,0.0
019453,0.0,503332,0.0
019456,0.0,494410,0.0
019451,0.0,2467246,0.0
097248,0.0,498130,0.0
09724B,0.0,499203,0.0
097246,0.0,496594,0.0
097242,0.0,495807,0.0
097241,0.0,493223,0.0
FA7041,0.0,246451,0.0
FA7041,0.0,246451,0.0
F0047Y,0.0,246451,0.0
F0047Y,0.0,246451,0.0
F0047Y,0.0,246451,0.0
F0047Y,0.0,246451,0.0
F0103J,0.0,246451,0.0
F0103J,0.0,246451,0.0
03366D,0.0,499039,0.0
033662,0.0,993595,0.0
033662,0.0,495679,0.0
033666,0.0,2976991,0.0
F0015Y,0.0,246451,0.0
000033,0.0,986776,0.0
FA9787,0.0,246451,0.0
174142,0.0,993343,0.0
174146,0.0,497102,0.0
FE103H,0.0,246451,0.0
FE103H,0.0,246451,0.0
FA8275,0.0,246451,0.0
FA8275,0.0,246451,0.0
FA8275,0.0,246451,0.0
FA8275,0.0,246451,0.0
FA9480,0.0,246451,0.0
FA9480,0.0,246451,0.0
FA1412,0.0,246451,0.0
FA1412,0.0,246451,0.0
FE1412,0.0,246451,0.0
FA3502,0.0,246451,0.0
FA1329,0.0,246451,0.0
F0084M,0.0,246451,0.0
FA114L,0.0,246451,0.0
F0114L,0.0,246451,0.0
F0114L,0.0,246451,0.0
F0009Z,0.0,246451,0.0
F0009Z,0.0,246451,0.0
F0103K,0.0,246451,0.0
F0103K,0.0,246451,0.0
F0114P,0.0,246451,0.0
F0114P,0.0,246451,0.0
F0114P,0.0,246451,0.0
F0114P,0.0,246451,0.0
F0025E,0.0,246451,0.0
140177,0.0,498434,0.0
140172,0.0,1490680,0.0
14017B,0.0,496059,0.0
021968,0.0,502309,0.0
021963,0.0,498837,0.0
021968,0.0,497880,0.0
021961,0.0,1481059,0.0
021962,0.0,493586,0.0
FA6445,0.0,246451,0.0
FA6445,0.0,246451,0.0
E08101,0.0,985804,0.0
004941,0.0,492902,0.0
FA1448,0.0,246451,0.0
FA1448,0.0,246451,0.0
205499,0.0,496043,0.0
205493,0.0,1001536,0.0
205494,0.0,500822,0.0
205491,0.0,497895,0.0
205493,0.0,498265,0.0
205492,0.0,495166,0.0
01980E,0.0,502154,0.0
01980J,0.0,1499608,0.0
019804,0.0,500989,0.0
01980C,0.0,499677,0.0
019802,0.0,498292,0.0
019809,0.0,992323,0.0
019801,0.0,497170,0.0
019801,0.0,986551,0.0
80801A,0.0,1478707,0.0
F0048Y,0.0,246451,0.0
F0006E,0.0,246451,0.0
F0006E,0.0,246451,0.0
F0006E,0.0,246451,0.0
F0006E,0.0,246451,0.0
F0006E,0.0,246451,0.0
F0006E,0.0,246451,0.0
FA9402,0.0,246451,0.0
FA9402,0.0,246451,0.0
F0138S,0.0,246451,0.0
F0138S,0.0,246451,0.0
F0138S,0.0,246451,0.0
F0138S,0.0,246451,0.0
06590N,0.0,495624,0.0
02988M,0.0,499158,0.0
02988N,0.0,998359,0.0
02988S,0.0,498726,0.0
02988B,0.0,495635,0.0
095929,0.0,500101,0.0
095925,0.0,1001747,0.0
095929,0.0,501109,0.0
095926,0.0,497592,0.0
