티커,계약수,금액,비중
145765,0.0,5128205,0.0
07931C,0.0,5128205,0.0
030203,0.0,5258312,0.0
166262,0.0,5147830,0.0
E00601,0.0,5128205,0.0
008273,0.0,5128205,0.0
008273,0.0,5150846,0.0
023785,0.0,5128205,0.0
019453,0.0,5128205,0.0
019459,0.0,5128205,0.0
097247,0.0,5128205,0.0
033665,0.0,5128205,0.0
17414E,0.0,5128205,0.0
140178,0.0,5128205,0.0
205494,0.0,5128205,0.0
019805,0.0,5128205,0.0
01980E,0.0,5136076,0.0
06590C,0.0,5317312,0.0
02988B,0.0,5128205,0.0
029887,0.0,5134199,0.0
095926,0.0,5128205,0.0
095928,0.0,5128205,0.0
