티커,계약수,금액,비중
F07686,0.0,735900,0.0
F07686,0.0,735900,0.0
10207G,0.0,1592826,0.0
10212G,0.0,1611937,0.0
10203G,0.0,8040528,0.0
10210G,0.0,1607353,0.0
10205G,0.0,3218376,0.0
10204A,0.0,4770800,0.0
10203A,0.0,1576400,0.0
10501A,0.0,3173900,0.0
10514G,0.0,3225809,0.0
10514G,0.0,1617227,0.0
10510G,0.0,1620701,0.0
10511G,0.0,4837148,0.0
10507G,0.0,3195844,0.0
10508G,0.0,1598120,0.0
51602G,0.0,1668348,0.0
51601G,0.0,1579800,0.0
56102G,0.0,3214555,0.0
56102G,0.0,1639699,0.0
56402G,0.0,1588700,0.0
56401G,0.0,1605300,0.0
56401G,0.0,1603251,0.0
80806A,0.0,9545400,0.0
80802G,0.0,1594265,0.0
80801A,0.0,6299000,0.0
80801A,0.0,3170600,0.0
80801A,0.0,3035900,0.0
52503G,0.0,1624956,0.0
52503G,0.0,1645579,0.0
52503G,0.0,1657216,0.0
54401G,0.0,1614747,0.0
54414G,0.0,3300888,0.0
54403G,0.0,1629222,0.0
54409G,0.0,1630009,0.0
54401G,0.0,1597129,0.0
54401G,0.0,1597304,0.0
54405G,0.0,1639668,0.0
54406G,0.0,6411764,0.0
54418G,0.0,1676971,0.0
54412G,0.0,3257818,0.0
