ticker,asset_manager,name,strategy_type,sector
0139F0,TIGER,12월자동연장금융채(AA-이상)액티브,채권형,
310960,TIGER,200TR,시장 대표,
227550,TIGER,200 산업재,테마형,건설
227560,TIGER,200 생활소비재,테마형,유통 / 소매
102110,TIGER,200,시장 대표,
243880,TIGER,200IT레버리지,테마형,전자 / IT
252000,TIGER,200동일가중,시장 대표,
267770,TIGER,200선물레버리지,시장 대표,
252710,TIGER,200선물인버스2X,시장 대표,
243890,TIGER,200에너지화학레버리지,테마형,에너지 / 유틸리티
315270,TIGER,200커뮤니케이션서비스,시장 대표,
166400,TIGER,200커버드콜OTM,배당형,
0104N0,TIGER,200타겟위클리커버드콜,배당형,
227540,TIGER,200 헬스케어,테마형,바이오 / 의약
0001S0,TIGER,26-04 회사채(A+이상)액티브,채권형,
480260,TIGER,27-04회사채(A+이상)액티브,채권형,
0094K0,TIGER,28-04 회사채(A+이상)액티브,채권형,
364980,TIGER,2차전지TOP10,테마형,자동차
412570,TIGER,2차전지TOP10레버리지,테마형,자동차
462010,TIGER,2차전지소재Fn,테마형,자동차
305540,TIGER,2차전지테마,테마형,자동차
471760,TIGER,AI반도체핵심공정,테마형,전자 / IT
365040,TIGER,AI코리아그로스액티브,테마형,전자 / IT
364960,TIGER,BBIG,테마형,전자 / IT
412560,TIGER,BBIG레버리지,테마형,전자 / IT
475630,TIGER,CD1년금리액티브(합성),채권형,
357870,TIGER,CD금리투자KIS(합성),채권형,
499660,TIGER,CD금리플러스액티브(합성),채권형,
400970,TIGER,Fn메타버스,테마형,전자 / IT
377990,TIGER,Fn신재생에너지,테마형,에너지 / 유틸리티
417630,TIGER,KEDI혁신기업ESG30,테마형,에너지 / 유틸리티
292160,TIGER,KRX300,시장 대표,
0072R0,TIGER,KRX금현물,기타,
404540,TIGER,KRX기후변화솔루션,테마형,에너지 / 유틸리티
300610,TIGER,K게임,테마형,통신 / 미디어
138530,TIGER,LG그룹플러스,테마형,기타
445910,TIGER,MKF배당귀족,배당형,
0025N0,TIGER,TDF2045,기타,
364990,TIGER,게임TOP10,테마형,통신 / 미디어
139280,TIGER,경기방어,테마형,기타
237440,TIGER,경기방어채권혼합,채권형,
319640,TIGER,골드선물(H),시장 대표,
160580,TIGER,구리실물,기타,
114820,TIGER,국채3년,채권형,
139320,TIGER,금은선물(H),기타,
137610,TIGER,농산물선물Enhanced(H),기타,
272580,TIGER,단기채권액티브,채권형,
157450,TIGER,단기통안채,채권형,
123320,TIGER,레버리지,시장 대표,
0086B0,TIGER,리츠부동산인프라TOP10액티브,기타,
341850,TIGER,리츠부동산인프라채권,채권형,
329200,TIGER,리츠부동산인프라,기타,
0086C0,TIGER,리츠부동산인프라10채권혼합액티브,채권형,
0043B0,TIGER,머니마켓액티브,채권형,
147970,TIGER,모멘텀,테마형,기타
228810,TIGER,미디어컨텐츠,테마형,통신 / 미디어
364970,TIGER,바이오TOP10,테마형,바이오 / 의약
091230,TIGER,반도체,테마형,전자 / IT
488080,TIGER,반도체TOP10레버리지,테마형,전자 / IT
396500,TIGER,반도체TOP10,테마형,전자 / IT
138520,TIGER,삼성그룹,테마형,기타
157490,TIGER,소프트웨어,테마형,전자 / IT
228800,TIGER,여행레저,테마형,통신 / 미디어
227570,TIGER,우량가치,테마형,기타
261140,TIGER,우선주,테마형,기타
130680,TIGER,원유선물Enhanced(H),기타,
091220,TIGER,은행,테마형,금융
466940,TIGER,은행고배당플러스TOP10,테마형,금융
307510,TIGER,의료기기,테마형,바이오 / 의약
123310,TIGER,인버스,시장 대표,
365000,TIGER,인터넷TOP10,테마형,전자 / IT
494670,TIGER,조선TOP10,테마형,기타
302190,TIGER,중장기국채,채권형,
157500,TIGER,증권,테마형,금융
307520,TIGER,지주회사,테마형,금융
0117V0,TIGER,코리아AI전력기기TOP3플러스,테마형,전자 / IT
292150,TIGER,코리아TOP10,시장 대표,
496080,TIGER,코리아밸류업,테마형,기타
0091P0,TIGER,코리아원자력,테마형,에너지 / 유틸리티
0148J0,TIGER,코리아휴머노이드로봇산업,테마형,전자 / IT
233160,TIGER,코스닥150 레버리지,시장 대표,
232080,TIGER,코스닥150,시장 대표,
261060,TIGER,코스닥150IT,테마형,전자 / IT
261070,TIGER,코스닥150바이오테크,테마형,전자 / IT
250780,TIGER,코스닥150선물인버스,시장 대표,
277640,TIGER,코스피대형주,시장 대표,
277650,TIGER,코스피중형주,시장 대표,
277630,TIGER,코스피,시장 대표,
376410,TIGER,탄소효율그린뉴딜,테마형,에너지 / 유틸리티
387280,TIGER,퓨처모빌리티액티브,테마형,자동차
143860,TIGER,헬스케어,테마형,바이오 / 의약
138540,TIGER,현대차그룹플러스,테마형,기타
228790,TIGER,화장품,테마형,유통 / 소매
449170,TIGER,KOFR금리액티브(합성),채권형,
471780,TIGER,코리아테크액티브,테마형,전자 / IT
139260,TIGER,200 IT,테마형,전자 / IT
139220,TIGER,200 건설,테마형,건설
139290,TIGER,200 경기소비재,테마형,유통 / 소매
139270,TIGER,200 금융,테마형,금융
139250,TIGER,200 에너지화학,테마형,에너지 / 유틸리티
139230,TIGER,200 중공업,시장 대표,
139240,TIGER,200 철강소재,테마형,화학 / 소재
289480,TIGER,200커버드콜,배당형,
228820,TIGER,KTOP30,시장 대표,
463250,TIGER,K방산&우주,테마형,기타
451530,TIGER,국고채30년스트립액티브,채권형,
174350,TIGER,로우볼,테마형,기타
211560,TIGER,배당성장,테마형,기타
472150,TIGER,배당커버드콜액티브,배당형,
438330,TIGER,우량회사채액티브,채권형,
217770,TIGER,원유선물인버스(H),기타,
451540,TIGER,종합채권(AA-이상)액티브,채권형,
210780,TIGER,코스피고배당,배당형,
278530,KODEX,200TR,시장 대표,
226980,KODEX,200 중소형,시장 대표,
337160,KODEX,200ESG,테마형,에너지 / 유틸리티
363580,KODEX,200IT TR,테마형,전자 / IT
337150,KODEX,200exTOP,시장 대표,
223190,KODEX,200가치저변동,배당형,
237350,KODEX,코스피100,시장 대표,
252650,KODEX,200동일가중,시장 대표,
360140,KODEX,200롱코스닥150숏선물,시장 대표,
252670,KODEX,200선물인버스2X,시장 대표,
494890,KODEX,200액티브,시장 대표,
498400,KODEX,200타겟위클리커버드콜,배당형,
0117L0,KODEX,26-12 금융채(AA-이상)액티브,채권형,
473290,KODEX,26-12 회사채(AA-이상)액티브,채권형,
0007F0,KODEX,27-12 회사채(AA-이상)액티브,채권형,
0119H0,KODEX,28-12 회사채(AA-이상)액티브,채권형,
462330,KODEX,2차전지산업레버리지,테마형,자동차
305720,KODEX,2차전지산업,테마형,자동차
461950,KODEX,2차전지핵심소재10,테마형,자동차
457690,KODEX,33-06 국고채액티브,채권형,
271060,KODEX,3대농산물선물(H),기타,
457700,KODEX,53-09 국고채액티브,채권형,
395160,KODEX,AI반도체,테마형,전자 / IT
471990,KODEX,AI반도체핵심장비,테마형,전자 / IT
487240,KODEX,AI전력핵심설비,테마형,전자 / IT
481050,KODEX,CD1년금리플러스액티브(합성),채권형,
459580,KODEX,CD금리액티브(합성),채권형,
