ticker,market_type,corp_name,corp_code
A001630,KOSPI,(주)종근당홀딩스,1101110028955
A145720,KOSPI,(주)덴티움,1351110052892
A000660,KOSPI,에스케이하이닉스(주),1344110001387
A005930,KOSPI,삼성전자(주),1301110006246
A032350,KOSPI,롯데관광개발(주),1101110115504
A092440,KOSPI,기신정기(주),1201110046476
A100250,KOSPI,(주)진양홀딩스,1801110618091
A008040,KOSPI,사조동아원(주),1244110000662
A002350,KOSPI,넥센타이어(주),1101110014219
A249420,KOSPI,일동제약(주),1101116139277
A282330,KOSPI,(주)비지에프리테일,1101116555770
A034590,KOSPI,인천도시가스(주),1201110014027
A112040,KOSDAQ,(주)위메이드,1101111873755
A143210,KOSPI,핸즈코퍼레이션(주),1201110000323
A003160,KOSPI,(주)디아이,1101110039209
A001940,KOSPI,KISCO홀딩스(주),1901110001872
A002960,KOSPI,한국쉘석유(주),1801110002591
A079550,KOSPI,엘아이지넥스원(주),1101111516933
A475960,KOSDAQ,(주)토모큐브,1601110406466
A064350,KOSPI,현대로템(주),1942110036336
A100120,KOSDAQ,(주)뷰웍스,1101111775894
A001040,KOSPI,CJ(주),1101110015639
A448900,KOSDAQ,한국피아이엠(주),1748110026107
A018500,KOSPI,동원금속(주),1701110021816
A080160,KOSDAQ,(주)모두투어네트워크,1101110609771
A460930,KOSDAQ,현대힘스 주식회사,2301110143443
A056080,KOSDAQ,(주) 유진로봇,1101110991467
A030190,KOSPI,나이스평가정보 주식회사,1101110393283
A033640,KOSDAQ,(주)네패스,1545110002355
A052400,KOSDAQ,코나아이(주),1101111521700
A119610,KOSDAQ,(주)인터로조,1313110033856
A038390,KOSDAQ,(주)레드캡투어,1101111303140
A247540,KOSDAQ,(주)에코프로비엠,1501110219184
A298380,KOSDAQ,에이비엘바이오(주),1101115974020
A102710,KOSDAQ,(주)이엔에프테크놀로지,1101111957195
A007660,KOSPI,(주)이수페타시스,1101110186638
A334890,KOSPI,주식회사 이지스밸류플러스위탁관리부동산투자회사,1101117173224
A012750,KOSPI,(주)에스원,1101110221939
A009410,KOSPI,(주)태영건설,1101110155451
A044490,KOSDAQ,(주)태웅,1801110073922
A015760,KOSPI,한국전력공사(주),1146710001456
A024900,KOSPI,디와이덕양(주),1812110000922
A092780,KOSPI,디와이피(주),1243110003379
A006650,KOSPI,대한유화(주),1101110024698
A271940,KOSPI,일진하이솔루스(주),2101110086548
A352480,KOSDAQ,(주)씨앤씨인터내셔널,1358110238402
A259960,KOSPI,주식회사 크래프톤,1101113645772
A071840,KOSPI,롯데하이마트(주),1101110532633
A012800,KOSPI,(주)대창,1301110007137
A030520,KOSDAQ,(주)한글과컴퓨터,1101110725064
A031430,KOSPI,(주)신세계인터내셔날,1101110282402
A389470,KOSDAQ,주식회사 인벤티지랩,1311110409481
A200130,KOSDAQ,콜마비앤에이치(주),1101115399517
A089470,KOSPI,에이치디씨현대이피(주),1650110006768
A011790,KOSPI,SKC(주),1301110001585
A104830,KOSDAQ,(주)원익머트리얼즈,1501110101662
A419530,KOSDAQ,(주)에스에이엠지엔터테인먼트,1101112034562
A003470,KOSPI,유안타증권(주),1101110042492
A237880,KOSDAQ,(주)클리오,1101111421273
A297890,KOSDAQ,에이치비솔루션(주),1311110065514
A131290,KOSDAQ,(주)티에스이,1615110017818
A101140,KOSPI,(주)인바이오젠,1313110080427
A035250,KOSPI,(주)강원랜드,1449110001666
A016090,KOSPI,(주)대현,1101110319320
A128940,KOSPI,한미약품(주),1348110197550
A360070,KOSDAQ,주식회사 탑머티리얼,1311110304011
A000210,KOSPI,디엘 주식회사,1101110084915
A234080,KOSPI,제이더블유생명과학(주),1350110057395
A010820,KOSPI,퍼스텍(주),1942110000133
A013000,KOSPI,(주)세우글로벌,1101110227177
A005870,KOSPI,(주)휴니드테크놀러지스,1341110005202
A009440,KOSPI,케이씨그린홀딩스(주),1101110155683
A453340,KOSPI,주식회사 현대그린푸드,1345110623337
A032500,KOSDAQ,(주)케이엠더블유,1348110020579
A016610,KOSPI,DB증권(주),1101110339956
A004970,KOSPI,신라교역(주),1101110008254
A054210,KOSDAQ,(주)이랜텍,1345110002375
A039030,KOSDAQ,(주)이오테크닉스,1101110998629
A003670,KOSPI,(주)포스코퓨처엠,1746110001947
A204610,KOSDAQ,(주)티쓰리엔터테인먼트,1101111942485
A009270,KOSPI,(주)신원,1101110152770
A272550,KOSPI,주식회사 삼양패키징,1101115554418
A095340,KOSDAQ,(주)아이에스시,1311110057876
A041830,KOSDAQ,(주)인바디,1101111271834
A199820,KOSDAQ,제일일렉트릭(주),1801110037887
A007460,KOSPI,(주)에이프로젠,1101110122731
A007540,KOSPI,샘표(주),1101110123797
A010690,KOSPI,(주)화신,1701110014936
