# 전체 ETF: 1072개 / 국내주식형: 763개
# 매칭: 702개 / 미매칭: 61개

== 국내 주식형 ETF ==
[OK] 069500	KODEX 200
[OK] 360750	TIGER 미국S&P500
[OK] 379800	KODEX 미국S&P500
[OK] 133690	TIGER 미국나스닥100
[OK] 102110	TIGER 200
[OK] 229200	KODEX 코스닥150
[OK] 396500	TIGER 반도체TOP10
[OK] 379810	KODEX 미국나스닥100
[OK] 278530	KODEX 200TR
[OK] 411060	ACE KRX금현물
[OK] 310970	TIGER MSCI Korea TR
[OK] 381170	TIGER 미국테크TOP10 INDXX
[OK] 381180	TIGER 미국필라델피아반도체나스닥
[OK] 091160	KODEX 반도체
[OK] 360200	ACE 미국S&P500
[OK] 498400	KODEX 200타겟위클리커버드콜
[OK] 458730	TIGER 미국배당다우존스
[OK] 148020	RISE 200
[OK] 367380	ACE 미국나스닥100
[OK] 161510	PLUS 고배당주
[OK] 102780	KODEX 삼성그룹
[MISS] 292150	TIGER 코리아TOP10
[OK] 278540	KODEX MSCI Korea TR
[OK] 395160	KODEX AI반도체
[OK] 0117L0	KODEX 26-12 금융채(AA-이상)액티브
[OK] 232080	TIGER 코스닥150
[OK] 466920	SOL 조선TOP3플러스
[OK] 449450	PLUS K방산
[OK] 305720	KODEX 2차전지산업
[OK] 294400	KIWOOM 200TR
[OK] 0072R0	TIGER KRX금현물
[OK] 144600	KODEX 은선물(H)
[OK] 487230	KODEX 미국AI전력핵심인프라
[OK] 379780	RISE 미국S&P500
[OK] 487240	KODEX AI전력핵심설비
[OK] 441640	KODEX 미국배당커버드콜액티브
[MISS] 315930	KODEX Top5PlusTR
[OK] 395270	HANARO Fn K-반도체
[OK] 371460	TIGER 차이나전기차SOLACTIVE
[OK] 105190	ACE 200
[OK] 152100	PLUS 200
[OK] 329200	TIGER 리츠부동산인프라
[OK] 0061Z0	RISE 단기특수은행채액티브
[OK] 368590	RISE 미국나스닥100
[OK] 486290	TIGER 미국나스닥100타겟데일리커버드콜
[OK] 457480	ACE 테슬라밸류체인액티브
[OK] 305540	TIGER 2차전지테마
[OK] 456600	TIME 글로벌AI인공지능액티브
[OK] 0139F0	TIGER 12월자동연장금융채(AA-이상)액티브
[OK] 426030	TIME 미국나스닥100액티브
[OK] 465580	ACE 미국빅테크TOP7 Plus
[OK] 446770	ACE 글로벌반도체TOP4 Plus
[OK] 445290	KODEX 로봇액티브
[OK] 494670	TIGER 조선TOP10
[OK] 446720	SOL 미국배당다우존스
[OK] 371160	TIGER 차이나항셍테크
[OK] 494890	KODEX 200액티브
[OK] 102970	KODEX 증권
[OK] 497570	TIGER 미국필라델피아AI반도체나스닥
[OK] 466940	TIGER 은행고배당플러스TOP10
[OK] 455850	SOL AI반도체소부장
[OK] 390390	KODEX 미국반도체
[OK] 139260	TIGER 200 IT
[OK] 226490	KODEX 코스피
[OK] 458760	TIGER 미국배당다우존스타겟커버드콜2호
[OK] 402970	ACE 미국배당다우존스
[OK] 091230	TIGER 반도체
